# X Z alpha M alpha_nu logL Teff log<L> <Teff> ndom Pdom       
0.7 0.002 1.5 2.6 0.05 4.080 3515 4.080 3428  1  130.4
0.7 0.002 1.5 2.6 0.10 4.120 3481 4.120 3403  1  145.8
0.7 0.002 1.5 2.6 0.20 4.255 3369 4.254 3300  0  445.0
0.7 0.002 2.0 1.0 0.00 3.350 4014 3.350 3953  1   38.0
0.7 0.002 2.0 1.0 0.01 3.355 4011 3.354 3955  1   38.3
0.7 0.002 2.0 1.0 0.02 3.370 3999 3.369 3940  1   39.8
0.7 0.002 2.0 1.0 0.05 3.415 3964 3.414 3899  1   44.6
0.7 0.002 2.0 1.0 0.10 3.495 3901 3.494 3827  1   55.0
0.7 0.002 2.0 1.0 0.20 3.650 3782 3.650 3690  1   81.1
0.7 0.002 2.0 2.6 0.00 4.100 3861 4.100 3743  0  218.2
0.7 0.002 2.0 2.6 0.01 4.120 3845 4.120 3718  0  231.2
0.7 0.002 2.0 2.6 0.02 4.135 3834 4.135 3694  0  242.5
0.7 0.002 2.0 2.6 0.05 4.170 3806 4.170 3663  0  268.2
0.7 0.002 2.0 2.6 0.10 4.225 3763 4.225 3625  0  311.6
0.7 0.002 2.0 2.6 0.20 4.315 3692 4.314 3518  0  403.0
0.7 0.002 2.5 1.0 0.00 3.445 4218 3.438 4097  1   38.9
0.7 0.002 2.5 1.0 0.01 3.470 4196 3.464 4093  1   41.4
0.7 0.002 2.5 1.0 0.02 3.480 4187 3.474 4086  1   42.4
0.7 0.002 2.5 1.0 0.05 3.520 4151 3.515 4057  1   47.1
0.7 0.002 2.5 1.0 0.10 3.595 4088 3.592 4006  1   56.8
0.7 0.002 2.5 1.0 0.20 3.725 3982 3.725 3927  1   77.2
0.7 0.002 2.5 2.6 0.00 4.195 4042 4.194 3897  0  225.6
0.7 0.002 2.5 2.6 0.01 4.205 4034 4.205 3884  0  233.9
0.7 0.002 2.5 2.6 0.02 4.220 4023 4.220 3865  0  244.2
0.7 0.002 2.5 2.6 0.05 4.260 3990 4.260 3827  0  273.9
0.7 0.002 2.5 2.6 0.10 4.315 3947 4.315 3780  0  319.0
0.7 0.002 2.5 2.6 0.20 4.380 3897 4.379 3727  0  380.5
0.7 0.006 1.5 1.0 0.00 3.215 3418 3.220 3382  1   48.6
0.7 0.006 1.5 1.0 0.01 3.220 3414 3.227 3376  1   50.0
0.7 0.006 1.5 1.0 0.02 3.225 3409 3.230 3373  1   50.4
0.7 0.006 1.5 1.0 0.05 3.255 3381 3.262 3343  1   54.7
0.7 0.006 1.5 1.0 0.10 3.295 3343 3.301 3304  1   60.7
0.7 0.006 1.5 1.0 0.20 3.535 3117 3.535 3065  1  114.2
0.7 0.006 1.5 2.6 0.00 3.990 3237 3.990 3156  1  141.1
0.7 0.006 1.5 2.6 0.01 4.000 3228 4.000 3149  1  144.6
0.7 0.006 1.5 2.6 0.02 4.010 3220 4.009 3142  1  148.6
0.7 0.006 1.5 2.6 0.05 4.030 3201 4.030 3127  1  157.0
0.7 0.006 1.5 2.6 0.10 4.080 3156 4.079 3097  1  179.4
0.7 0.006 1.5 2.6 0.20 4.225 3027 4.224 2965  0  608.5
0.7 0.006 2.0 1.0 0.00 3.310 3739 3.309 3659  1   45.0
0.7 0.006 2.0 1.0 0.01 3.325 3726 3.324 3633  1   46.7
0.7 0.006 2.0 1.0 0.02 3.345 3709 3.344 3627  1   49.3
0.7 0.006 2.0 1.0 0.05 3.400 3662 3.400 3577  1   57.0
0.7 0.006 2.0 1.0 0.10 3.490 3582 3.490 3508  0   72.8
0.7 0.006 2.0 1.0 0.20 3.645 3442 3.645 3294  0  250.9
0.7 0.006 2.0 2.6 0.00 4.090 3555 4.090 3407  0  285.6
0.7 0.006 2.0 2.6 0.01 4.105 3542 4.105 3399  0  297.1
0.7 0.006 2.0 2.6 0.02 4.115 3533 4.115 3392  0  306.1
0.7 0.006 2.0 2.6 0.05 4.160 3493 4.160 3354  0  349.2
0.7 0.006 2.0 2.6 0.10 4.210 3447 4.209 3258  0  412.8
0.7 0.006 2.0 2.6 0.20 4.285 3379 4.284 3180  0  508.3
0.7 0.006 2.5 1.0 0.00 3.400 3938 3.393 3825  1   44.5
0.7 0.006 2.5 1.0 0.01 3.415 3926 3.409 3821  1   46.3
0.7 0.006 2.5 1.0 0.02 3.435 3909 3.429 3808  1   48.8
0.7 0.006 2.5 1.0 0.05 3.475 3878 3.470 3780  1   54.0
0.7 0.006 2.5 1.0 0.10 3.565 3806 3.562 3710  1   68.4
0.7 0.006 2.5 1.0 0.20 3.705 3695 3.705 3543  0  221.5
0.7 0.006 2.5 2.6 0.00 4.150 3790 4.149 3606  0  264.5
0.7 0.006 2.5 2.6 0.01 4.170 3774 4.170 3583  0  282.4
0.7 0.006 2.5 2.6 0.02 4.180 3766 4.180 3574  0  290.6
0.7 0.006 2.5 2.6 0.05 4.220 3734 4.219 3542  0  324.3
0.7 0.006 2.5 2.6 0.10 4.275 3691 4.274 3488  0  381.8
0.7 0.006 2.5 2.6 0.20 4.340 3637 4.340 3402  0  460.1
0.7 0.010 1.5 1.0 0.00 3.205 3249 3.212 3215  1   56.5
0.7 0.010 1.5 1.0 0.01 3.210 3244 3.217 3211  1   57.1
